attraversamento pedonale	persona	bn:00061238n	bn:00044576n	strisce pedonali,attraversamento pedonale,passaggio pedonale	uomo,essere umano,Homo,persona
proteina	maniglia	bn:00064855n	bn:00028256n	proteina,Proteine,protide,protidi	maniglia,pomello,maniglia della porta
U2	Ronaldo	bn:03320432n	bn:03510109n	U2	Ronaldo
Apple	iPhone	bn:03739345n	bn:03773392n	Apple,Apple Computer Inc.,Apple Inc.	IPhone,melafonino
menta piperita	gomma	bn:00054382n	bn:14214761n	Mentha piperita,Menta piperita,menta,Menta di pancalieri,menta peperita	gomma
poster	carta	bn:00010395n	bn:00060464n	cartellone,manifesto,cartello,poster	carta
UNICEF	radice	bn:00079074n	bn:00068246n	Fondo delle Nazioni Unite per l'infanzia,UNICEF,United Nations International Children's Emergency Fund,Fondo internazionale di emergenza delle Nazioni Unite per l'infanzia,U.N.I.C.E.F.	radice,radica,Apparato radicale
xenofobia	razzismo	bn:00081765n	bn:00065822n	xenofobia,Xenofobo,Xenofoba,Paura del diverso,senofobia	razzismo,discriminazione etnica,discriminazione razziale,discriminazione religiosa,Razzialismo
Woody Allen	lente	bn:00002833n	bn:00050673n	Woody Allen,Allan Stewart Königsberg	lente,sistema di lenti,lentille
lampada	genio	bn:00045882n	bn:16574144n	accendino,accenditore,accendisigari,lampada	Genio della lampada,Genio (Aladdin)
marina militare	isola	bn:00057052n	bn:00047612n	marina,marina militare,marineria	isola,isole
muro	castello	bn:00080386n	bn:00016570n	muro,parete	castello,maniero,fortezza
dinosauro	elefante	bn:00027226n	bn:00030314n	dinosauro,Dinosauria	elefante,Elefanti
torre dell'orologio	pietra	bn:00019894n	bn:14894574n	torre dell'orologio	Pietra (classificazione commerciale)
medio oriente	Eufrate	bn:00054852n	bn:00031871n	Medio Oriente,Vicino Oriente,Medio-Oriente	 Eufrate,Al-Furāt
prato	prateria	bn:00043214n	bn:00041455n	prato (agricoltura)	prateria,ecosistema di prateria,prateria erbosa
chitarra	violino	bn:00042150n	bn:00034250n	chitarra,Chitarra ritmica,Chitarra solista	violino,fiddle,violina
diplomazia	negoziato	bn:00027281n	bn:00026838n	diplomazia	negoziato,negoziazione,trattativa,contrattazione,dialogo
gravità	meteora	bn:00041491n	bn:13856218n	gravitazione,gravità,forza di gravità	Meteora,stella cadente
QI	Mensa	bn:00017440n	bn:00753618n	Ki (filosofia),Ch'i,C'hi,qi	Mensa (associazione),Mensa International
Union Jack	bandiera	bn:02394388n	bn:00030968n	Bandiera Britannica,Bandiera del Regno Unito,Union Flag,Union Jack	Bandiera nazionale,bandiera,Bandiera civile
terremoto	scossa	bn:00029448n	bn:00029441n	terremoto,sisma,attività sismica	scossa,microsisma,microsismo
